         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           2	       react	           1	         -99	           0	          44	           8	       -6.76	  1.0000e-08	  1.5333e-07	  5.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.1514	    -16.7549	     -0.7630	     -3.0429	
           2	       react	           1	         -99	           0	          45	           8	       -6.76	  1.0000e-08	  1.8333e-07	  6.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.9962	    -16.2117	     -0.5301	     -2.8877	
           2	       react	           1	         -99	           0	          46	           8	       -6.76	  1.0000e-08	  2.1333e-07	  7.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.8646	    -15.7510	     -0.3327	     -2.7561	
           2	       react	           1	         -99	           0	          47	           8	       -6.76	  1.0000e-08	  2.4333e-07	  8.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.7503	    -15.3511	     -0.1613	     -2.6418	
           2	       react	           1	         -99	           0	          48	           8	       -6.76	  1.0000e-08	  2.7333e-07	  9.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.6493	    -14.9976	     -0.0098	     -2.5409	
           2	       react	           1	         -99	           0	          49	           8	       -6.76	  1.0000e-08	  3.0333e-07	  1.0111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.5589	    -14.6811	      0.1258	     -2.4504	
           2	       react	           1	         -99	           0	          50	           8	       -6.76	  1.0000e-08	  3.3333e-07	  1.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.4770	    -14.3944	      0.2487	     -2.3685	
           2	       react	           1	         -99	           0	          51	           8	       -6.76	  1.0000e-07	  6.3333e-07	  2.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.9196	    -12.4436	      1.0848	     -1.8111	
           2	       react	           1	         -99	           0	          52	           8	       -6.76	  1.0000e-07	  9.3333e-07	  3.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.5829	    -11.2653	      1.5898	     -1.4745	
           2	       react	           1	         -99	           0	          53	           8	       -6.76	  1.0000e-07	  1.2333e-06	  4.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.3410	    -10.4186	      1.9526	     -1.2326	
           2	       react	           1	         -99	           0	          54	           8	       -6.76	  1.0000e-07	  1.5333e-06	  5.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.1521	     -9.7574	      2.2360	     -1.0436	
           2	       react	           1	         -99	           0	          55	           8	       -6.76	  1.0000e-07	  1.8333e-06	  6.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.9971	     -9.2150	      2.4684	     -0.8887	
           2	       react	           1	         -99	           0	          56	           8	       -6.76	  1.0000e-07	  2.1333e-06	  7.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.8657	     -8.7552	      2.6654	     -0.7573	
           2	       react	           1	         -99	           0	          57	           8	       -6.76	  1.0000e-07	  2.4333e-06	  8.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.7517	     -8.3562	      2.8364	     -0.6433	
